Benchmark	Reason	Comment
wc	#%variable-reference	ports? contracts?
cat	#%variable-reference	ports? contracts?
sum1	#%variable-reference	ports? contracts?
tail	#%variable-reference	ports? contracts?
simplex	< flonum fixnum	
pi	< on bigint	
parsing	bad syntax	parsing.scm:557 etc.
dynamic	bad syntax/set-cdr!	see dynamic.scm:92
ray	call-with-output-file	defined in definitions, racket says arity mismatch. ??
slatex	json lexer error 	"around [{""module"":""#%app""},{""lexical"":""newline""},{""lexical"":""out""}]] in json / 347 in slatex.scm"
mazefun	lookup	"defines foldr, lookedup; finds foldr but is Closure, not Cell"
tfib	make-thread	
conform	set-cdr!	
trav2	set-cdr!	
boyer	set-cdr!	
browse	set-cdr!	
destruc	set-cdr!	
lattice	set-cdr!	
matrix	set-cdr!	
scheme	set-cdr!	
trav1	set-cdr!	
maze	set-cdr!	
string	substring	
